,Rank,Title,Score,popularity,Members,Type,Episodes,Genre,Demographic,Start Date,End Date,Image,Link,Start Year,End Year
0,1,Fullmetal Alchemist: Brotherhood,9.1,3,3247131,TV,64,"['Action', 'Adventure', 'Drama', 'Fantasy']",Shounen,2009-01-04,2010-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/1208/94745.jpg?s=5ec18639199f2c60b60009f34222228d,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,2009,2010.0
1,2,Steins;Gate,9.07,13,2495249,TV,24,"['Drama', 'Sci-Fi', 'Suspense']",,2011-01-04,2011-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1935/127974.jpg?s=a0c19821033ace3af10310a253a9e85b,https://myanimelist.net/anime/9253/Steins_Gate,2011,2011.0
2,3,Gintama°,9.06,335,611640,TV,51,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2015-01-04,2016-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/3/72078.jpg?s=bb26d45bb75e13601e1b8029f717c2b0,https://myanimelist.net/anime/28977/Gintama°,2015,2016.0
3,4,Shingeki no Kyojin Season 3 Part 2,9.05,22,2174344,TV,10,"['Action', 'Drama', 'Suspense']",Shounen,2019-01-04,2019-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/1517/100633.jpg?s=63aa0647fb4eba3fd80288489f0a64a4,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,2019,2019.0
4,5,Bleach: Sennen Kessen-hen,9.04,429,493336,TV,13,"['Action', 'Adventure', 'Fantasy']",Shounen,2022-01-10,2022-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/1908/135431.jpg?s=b2907feb4a5b5797b2fabdfe87fe9fae,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,2022,2022.0
5,6,Gintama: The Final,9.04,1551,140768,Movie,1,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",Shounen,2021-01-01,2021-01-01,https://cdn.myanimelist.net/r/100x140/images/anime/1245/116760.jpg?s=8fc5f4b436ee45307a882948a5e768ac,https://myanimelist.net/anime/39486/Gintama__The_Final,2021,2021.0
6,7,Hunter x Hunter (2011),9.04,10,2731979,TV,148,"['Action', 'Adventure', 'Fantasy']",Shounen,2011-01-10,2014-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1337/99013.jpg?s=9eb9cdcf5b9da3538432d014fd0aaa31,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,2011,2014.0
7,8,Gintama',9.03,391,540126,TV,51,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2011-01-04,2012-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/4/50361.jpg?s=0fde0801daa3b436029146f401e5e77f,https://myanimelist.net/anime/9969/Gintama,2011,2012.0
8,9,Gintama': Enchousen,9.03,726,316598,TV,13,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2012-01-10,2013-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1452/123686.jpg?s=8c58b95cccbdac9b5ad4f15f4802baa9,https://myanimelist.net/anime/15417/Gintama__Enchousen,2012,2013.0
9,10,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.03,187,869909,TV,13,"['Comedy', 'Romance']",Seinen,2022-01-04,2022-01-06,https://cdn.myanimelist.net/r/100x140/images/anime/1160/122627.jpg?s=e4e56950556c022515bea0f8936ce541,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,2022,2022.0
10,11,Ginga Eiyuu Densetsu,9.02,739,311946,OVA,110,"['Drama', 'Sci-Fi']",,1988-01-01,1997-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/13/13225.jpg?s=8672a3462de209d1b78348d01df76d7b,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,1988,1997.0
11,12,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.02,427,495115,Special,2,"['Action', 'Drama', 'Suspense']",Shounen,2023-01-03,2023-01-11,https://cdn.myanimelist.net/r/100x140/images/anime/1279/131078.jpg?s=1b0db37795fa4240d5b66641643f76bb,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,2023,2023.0
12,13,Fruits Basket: The Final,8.99,478,451757,TV,13,"['Drama', 'Romance', 'Supernatural']",Shoujo,2021-01-04,2021-01-06,https://cdn.myanimelist.net/r/100x140/images/anime/1085/114792.jpg?s=5c97b2781732adc9ad6711abcb6f2f1b,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,2021,2021.0
13,14,Sousou no Frieren,8.99,942,246328,TV,28,"['Adventure', 'Drama', 'Fantasy']",Shounen,2023-01-09,,https://cdn.myanimelist.net/r/100x140/images/anime/1015/138006.jpg?s=fdca2fe2777421f4c3aaa56a6ba8a46f,https://myanimelist.net/anime/52991/Sousou_no_Frieren,2023,
14,15,Gintama.,8.98,754,305494,TV,12,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2017-01-01,2017-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/3/83528.jpg?s=c5709cac379ebb2033052a3357967397,https://myanimelist.net/anime/34096/Gintama,2017,2017.0
15,16,Gintama,8.94,139,1042432,TV,201,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2006-01-04,2010-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/10/73274.jpg?s=bfda4724d048534799329614778234c8,https://myanimelist.net/anime/918/Gintama,2006,2010.0
16,17,3-gatsu no Lion 2nd Season,8.93,562,391742,TV,22,['Drama'],Seinen,2017-01-10,2018-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/3/88469.jpg?s=4e26ac5f78b5501d6969e9eb528247a9,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,2017,2018.0
17,18,Clannad: After Story,8.93,117,1168247,TV,24,"['Drama', 'Romance', 'Supernatural']",,2008-01-10,2009-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1299/110774.jpg?s=0bee2596cef8c43a9879b9d26089f868,https://myanimelist.net/anime/4181/Clannad__After_Story,2008,2009.0
18,19,Koe no Katachi,8.93,20,2251187,Movie,1,"['Award Winning', 'Drama']",Shounen,2016-01-09,2016-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1122/96435.jpg?s=ba7b364bdcb787802fa6be905e944d77,https://myanimelist.net/anime/28851/Koe_no_Katachi,2016,2016.0
19,20,Code Geass: Hangyaku no Lelouch R2,8.91,47,1735197,TV,25,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",,2008-01-04,2008-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1088/135089.jpg?s=c9d93439e18ea1111b4bc8645b108a94,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,2008,2008.0
20,21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,990,234636,Movie,1,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2013-01-07,2013-01-07,https://cdn.myanimelist.net/r/100x140/images/anime/10/51723.jpg?s=bb3d98c8accf4dc8510356c856646b10,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,2013,2013.0
21,22,Violet Evergarden Movie,8.89,365,575289,Movie,1,"['Award Winning', 'Drama', 'Fantasy']",,2020-01-09,2020-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1825/110716.jpg?s=38d96ccb027cd045ccabfd4e03f64841,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,2020,2020.0
